PMID35121907_TableS26_EssentialSurfaceome	gene
Essential_Surfaceome_Genes	RAC1
Essential_Surfaceome_Genes	TFRC
Essential_Surfaceome_Genes	PTK2
Essential_Surfaceome_Genes	CLTC
Essential_Surfaceome_Genes	TLN1
Essential_Surfaceome_Genes	CDC42
Essential_Surfaceome_Genes	ACHE
Essential_Surfaceome_Genes	OGT
Essential_Surfaceome_Genes	TSG101
Essential_Surfaceome_Genes	CD8B
Essential_Surfaceome_Genes	RPSA
Essential_Surfaceome_Genes	EEF1A1
Essential_Surfaceome_Genes	TDGF1
Essential_Surfaceome_Genes	ATP1A1
Essential_Surfaceome_Genes	TYRO3
Essential_Surfaceome_Genes	HSPA8
Essential_Surfaceome_Genes	SLC3A2
Essential_Surfaceome_Genes	RHOC
Essential_Surfaceome_Genes	VDAC1
Essential_Surfaceome_Genes	GJA3
Essential_Surfaceome_Genes	ITGB5
Essential_Surfaceome_Genes	IFITM3
Essential_Surfaceome_Genes	AP2M1
Essential_Surfaceome_Genes	USP8
Essential_Surfaceome_Genes	AP2S1
Essential_Surfaceome_Genes	PI4KA
Essential_Surfaceome_Genes	SYMPK
Essential_Surfaceome_Genes	VPS28
Essential_Surfaceome_Genes	DNM2
Essential_Surfaceome_Genes	GGT1
Essential_Surfaceome_Genes	LTB4R2
Essential_Surfaceome_Genes	EXOC1
Essential_Surfaceome_Genes	SLC39A10
Essential_Surfaceome_Genes	GJA5
Essential_Surfaceome_Genes	ADAM11
Essential_Surfaceome_Genes	AAMP
Essential_Surfaceome_Genes	SLC29A2
Essential_Surfaceome_Genes	CADM4
Essential_Surfaceome_Genes	CDC42SE1
Essential_Surfaceome_Genes	PIP5K1A
Essential_Surfaceome_Genes	SCN8A
Essential_Surfaceome_Genes	FFAR4
Essential_Surfaceome_Genes	LRRC37A3
Essential_Surfaceome_Genes	SLC16A5
Essential_Surfaceome_Genes	DNAJC9
Essential_Surfaceome_Genes	LILRA6
Essential_Surfaceome_Genes	GGCX
Essential_Surfaceome_Genes	TMED10
Essential_Surfaceome_Genes	CELSR2
Essential_Surfaceome_Genes	SMAGP
Essential_Surfaceome_Genes	CDIPT
Essential_Surfaceome_Genes	UBE2D3
Essential_Surfaceome_Genes	KCNJ12
Essential_Surfaceome_Genes	RND1
Essential_Surfaceome_Genes	GPR61
Essential_Surfaceome_Genes	C1orf162
Essential_Surfaceome_Genes	TMEM8A
Essential_Surfaceome_Genes	SNAP23
Essential_Surfaceome_Genes	ATP6V0A1
Essential_Surfaceome_Genes	CFC1
Essential_Surfaceome_Genes	OTOP1
Essential_Surfaceome_Genes	ALG10B
Essential_Surfaceome_Genes	MMGT1
Essential_Surfaceome_Genes	TAS2R10
Essential_Surfaceome_Genes	KCNA10
